官译_女名,你的翻译_女名
阿曼达,雅琳
安珀,思萱
安娜,佳慧
布赖恩娜,晓雯
布兰妮,诗涵
克里斯蒂娜,欣妍
辛迪,子晴
克莱尔,婉婷
辛西娅,静怡
丹妮拉,梦瑶
黛安,雨欣
埃里卡,若涵
艾琳,可欣
费利西亚,语嫣
菲奥娜,思颖
加布里埃拉,紫萱
吉赛尔,雅楠
汉娜,佳琪
海伦,欣悦
伊蕾娜,梓涵
伊莎贝尔,诗雨
艾薇,心怡
杰基,雅婷
简,子涵
珍妮特,思敏
吉恩,佳宁
朱莉亚,雨彤
卡伦,若萱
卡塔琳娜,美玲
凯莉,晓燕
拉娜,静雯
劳拉,子悦
雷伊,欣怡
琳达,雅欣
麦西,诗琪
玛丽,佳敏
梅根,梦洁
南希,若语
妮可,思语
奥利弗,子萌
奥菲利亚,雅诗
宝琳,欣然
菲比,可馨
瑞秋,雨萱
朗达,佳颖
罗斯,悦心
苏菲,若晴
斯泰西,思雅
乌苏拉,梓妍
维尔拉,语彤
莉莉亚,佳怡
埃德娜,晓红
阿利亚,雅琪
玛利亚,欣瑶
亚历克西斯,子琳
安珀尔,若诗
黛比,美琳
多里斯,诗韵
杰内西斯,梦涵
惠特尼,雅丽
科琳娜,思琴
布列塔尼,佳玲
凯特,子萱
梅西亚,雨晴
马迪,若雨
萨沙,欣颖
兰迪,静萱
克洛伊,雅雯
安吉丽娜,可怡
玛丽安,梓瑶
伊冯娜,思涵
里安,佳蓉
赛琳娜,雨菲
迪娜,若彤
亚历克西娜,梦雅
杰克林,雅静
凯莉,子欣
丽芙,诗蕾
帕蒂,佳雪
拉切尔,欣蕾
凯特琳,若曦
林妮,思婷
阿黛尔,梓萌
乔迪恩,雅彤
赛默恩,悦欣
里卡,可璇
马辛,佳妍
海莉,雨琳
丽贝卡,若菲
克莱尔,诗雅
布鲁克,思怡
亚纳,梦婷
里弗,子瑶
亚思敏,雅萌
恩姆,佳盈
珍妮佛,欣桐
杰西卡,若欣
凯莉,诗蓉
耶里,梓灵
伊达,雅宁
