官译_女名,你的翻译_女名
阿曼达,雪宁
安珀,晨瑶
安娜,静姝
布赖恩娜,雅楠
布兰妮,思雨
克里斯蒂娜,若彤
辛迪,雨晴
克莱尔,书瑶
辛西娅,婉清
丹妮拉,心妍
黛安,梦洁
埃里卡,语桐
艾琳,若岚
费利西亚,依诺
菲奥娜,嘉怡
加布里埃拉,芷柔
吉赛尔,紫宁
汉娜,诗涵
海伦,欣妍
伊蕾娜,雅静
伊莎贝尔,梓晴
艾薇,依婷
杰基,奕可
简,清妍
珍妮特,安然
吉恩,乐瑶
朱莉亚,佳璐
卡伦,雨薇
卡塔琳娜,若妍
凯莉,紫薇
拉娜,亦珊
劳拉,静雯
雷伊,语柔
琳达,欣然
麦西,慧欣
玛丽,诗昕
梅根,嘉宁
南希,梦瑾
妮可,若澜
奥利弗,思媛
奥菲利亚,子璇
宝琳,雅彤
菲比,晓雯
瑞秋,可盈
朗达,雨昕
罗斯,佳悦
苏菲,芷晴
斯泰西,若汐
乌苏拉,心语
维尔拉,梓宁
莉莉亚,语汐
埃德娜,嘉慧
阿利亚,晓彤
玛利亚,依宁
亚历克西斯,欣瑶
安珀尔,亦宁
黛比,芷涵
多里斯,雨彤
杰内西斯,梦晗
惠特尼,若瑾
科琳娜,雅琴
布列塔尼,静怡
凯特,书宁
梅西亚,依晴
马迪,紫妍
萨沙,婉瑜
兰迪,慧琳
克洛伊,静妍
安吉丽娜,芷妍
玛丽安,若宁
伊冯娜,书涵
里安,梦然
赛琳娜,若瑶
迪娜,雨倩
亚历克西娜,清瑶
杰克林,梦祺
凯莉,子涵
丽芙,嘉雯
帕蒂,诗妍
拉切尔,欣宁
凯特琳,雅宁
林妮,若昕
阿黛尔,芷宁
乔迪恩,婉晴
赛默恩,依涵
里卡,书妍
马辛,可岚
海莉,语宁
丽贝卡,雨柔
克莱尔,紫薇
布鲁克,清婉
亚纳,心怡
里弗,梦妍
亚思敏,子宁
恩姆,若初
珍妮佛,嘉妍
杰西卡,欣彤
凯莉,依娜
耶里,书昕
伊达,雅雯
