官译_城市名,你的翻译_城市名
阿伯加文尼,临安市
阿卡拉内斯岭,临宁市
阿瓜弗里亚,临海市
奥尔本斯,临江市
阿尔伯布蒂,临河市
奥尔德本,临山市
奥尔德布鲁,临川市
奥尔福德,临阳市
艾伦,临城市
阿尼克,临州市
奥尔顿,临泉市
阿玛撒,临湖市
阿默沙姆,临岭市
安普希尔,宁安市
羚羊山,宁宁市
阿内加德,宁海市
阿伦德尔,宁江市
亚萨,宁河市
阿什弗拉特,宁山市
阿什比,宁川市
阿欣登,宁阳市
亚什兰,宁城市
奥本山,宁州市
奥斯特,宁泉市
阿克斯布里奇,宁湖市
巴克利,宁岭市
巴扬达斯,安安市
班堡,安宁市
班伯里,安海市
巴德尼,安江市
巴弗雷斯顿,安河市
巴尼加特莱特,安山市
巴尼斯顿,安川市
巴尼,安阳市
巴里顿,安城市
比明斯特,安州市
比亚特里斯,安泉市
博利厄,安湖市
比瑟姆,安岭市
贝洛伊特,永安市
贝尔赛,永宁市
本弗利特,永海市
伯哈姆斯特德,永江市
比佛利山,永河市
比格福特,永山市
比林厄姆,永川市
伯尼,永阳市
布莱克加姆,永城市
布洛杰特兰丁,永州市
布洛克瑟姆,永泉市
博德明,永湖市
博亚姆,永岭市
博利,泰安市
博尔顿,泰宁市
邦瀚,泰海市
鲍斯,泰江市
布拉丁,泰河市
布兰德韦尔,泰山市
布拉辛顿,泰川市
布雷肯,泰阳市
布里奇代尔,泰城市
布里奇奥思,泰州市
布鲁克斯,泰泉市
布劳,泰湖市
布劳顿,泰岭市
布伦斯维尔,兴安市
布莱恩敦,兴宁市
巴克法斯特,兴海市
巴克利,兴江市
伯吉兹敦,兴河市
伯格,兴山市
伯恩利,兴川市
伯顿,兴阳市
博利,兴城市
布什伯里,兴州市
布斯蒂,兴泉市
拜罗姆维尔,兴湖市
拜瑟姆,兴岭市
卡多谷,和安市
卡菲利,和宁市
卡温特,和海市
凯斯特,和江市
卡拉巴什,和河市
卡尔霍恩瀑布,和山市
加利福恩,和川市
卡尔恩,和阳市
剑桥泉,和城市
卡梅尔福德,和州市
卡姆登,和泉市
卡尼斯托塔,和湖市
珊瑚角,和岭市
卡里斯布鲁克,嘉安市
卡纳望,嘉宁市
卡里克,嘉海市
卡里佐,嘉江市
卡特里克,嘉河市
雪达堡,嘉山市
辛南,嘉川市
塞特尔山,嘉阳市
查尔格罗夫,嘉城市
钦伯兰,嘉州市
查塔姆,嘉泉市
切克塔,嘉湖市
切尔滕纳姆,嘉岭市
切普斯托,景安市
彻顺特,景宁市
切斯特,景海市
奇勒姆,景江市
奇林厄姆,景河市
奇本纳姆,景山市
奇伯里,景川市
乔利,景阳市
辛科河口,景城市
克拉克顿,景州市
克拉里维尔,景泉市
克利福德,景湖市
克鲁捷,景岭市
科林加,瑞安市
科尔本,瑞宁市
科恩,瑞海市
巨城,瑞江市
科姆,瑞河市
康普切,瑞山市
科纳绍湖,瑞川市
考文,瑞阳市
考斯比,瑞城市
克莱蒂顿,瑞州市
克鲁克恩,瑞泉市
克里克雷德,瑞湖市
库利森,瑞岭市
卡尔曼,德安市
达纳点,德宁市
丹维尔,德海市
达利,德江市
德雷斯特,德河市
德南威,德山市
登比,德川市
德纳姆,德阳市
德比,德城市
迪克斯菲尔德,德州市
多尔钦,德泉市
多尔蒂,德湖市
道格拉斯维尔,德岭市
德鲁,丰安市
达德利,丰宁市
邓斯特布尔,丰海市
邓斯坦堡,丰江市
鹰嘴山,丰河市
东山,丰山市
东纽南,丰川市
东门,丰阳市
东谷,丰城市
埃克尔斯霍尔,丰州市
埃奇伍德,丰泉市
埃德蒙兹,丰湖市
埃格林,丰岭市
埃伦顿,成安市
艾琳泉,成宁市
埃斯科姆,成海市
伊顿,成江市
法比乌斯,成河市
费尔米德,成山市
法森,成川市
法尔肯纳,成阳市
法林登,成城市
费雷尔维尤,成州市
芬查尔,成泉市
费士霍克,成湖市
花香,成岭市
福金厄姆,宜安市
福克兰,宜宁市
约翰逊堡,宜海市
福威,宜江市
法兰克福广场,宜河市
福瑞斯,宜山市
富尔达,宜川市
加科纳,宜阳市
戈尔登平原,宜城市
杰纳西,宜州市
吉拉,宜泉市
吉尔伯特,宜湖市
吉林,宜岭市
吉林厄姆,济安市
吉塞拉,济宁市
格伦维尔,济海市
格洛斯特,济江市
戈德菲尔德,济河市
戈林达,济山市
顾旺达,济川市
格兰瑟姆,济阳市
格兰特利,济城市
瓜纳博,济州市
古斯汀,济泉市
哈登,济湖市
哈格曼,济岭市
哈迪维尔,清安市
哈迪斯蒂,清宁市
哈林,清海市
哈灵顿,清江市
哈罗,清河市
哈特利,清山市
哈弗福德韦斯特,清川市
海顿,清阳市
海通,清城市
希思维尔,清州市
海丁厄姆,清泉市
赫德利,清湖市
河顿,清岭市
海伦斯,青安市
赫尔姆斯利,青宁市
赫斯特蒙苏,青海市
赫特福德,青江市
赫弗,青河市
赫克瑟姆,青山市
高地,青川市
欣顿,青阳市
霍肯道夸,青城市
霍尔比奇,青州市
豪尔戴海岸,青泉市
霍洛威,青湖市
霍恩斯代尔,青岭市
霍普,云安市
霍普金顿,云宁市
霍雷肖,云海市
霍舍姆,云江市
休森,云河市
胡恩,云山市
胡廷登,云川市
赫顿,云阳市
海思,云城市
艾琳,云州市
伊芙,云泉市
詹姆斯堡,云湖市
詹姆斯波特,云岭市
若卡,龙安市
杰迪托,龙宁市
泽西,龙海市
杰沃克斯,龙江市
卡维拉湾,龙河市
肯德尔,龙山市
克尔曼,龙川市
凯西克,龙阳市
金斯顿矿山,龙城市
基普,龙州市
柯比,龙泉市
纳尔斯伯勒,龙湖市
拉阿利安萨,龙岭市
拉图尔,凤安市
乔木湖,凤宁市
邓拉普湖,凤海市
米斯提克湖,凤江市
岸湖,凤河市
萨姆纳湖,凤山市
湖谷,凤川市
威利湖,凤阳市
月桂山,凤城市
拉文纳姆,凤州市
里奇堡,凤泉市
莱斯顿,凤湖市
雷哲岗,凤岭市
柠檬湾,华安市
莱奥拉,华宁市
莱维敦,华海市
路易斯,华江市
里博瑞特中心,华河市
黎篱,华山市
林肯尼亚,华川市
林克罗夫特,华阳市
里特米多斯,华城市
兰内利安,华州市
卢艾,华泉市
洛斯维希尔,华湖市
劳斯,华岭市
洛斯岛,锦安市
露娜,锦宁市
利德伯里,锦海市
利德福德,锦江市
林恩,锦河市
麦克维尔,锦山市
玉兰,锦川市
梅德斯通,锦阳市
茂林,锦城市
马姆斯伯里,锦州市
马尔顿,锦泉市
曼宁顿,锦湖市
枫树山,锦岭市
大理石城,阳安市
马登,阳宁市
马林顿,阳海市
马沙姆,阳江市
马苏里,阳河市
马塔瓦纳,阳山市
梅沃思,阳川市
麦考斯兰,阳阳市
麦克德莫特,阳城市
麦肯齐,阳州市
梅多湖,阳泉市
梅德汉普顿,阳湖市
梅尔科姆,阳岭市
美南,明安市
门东,明宁市
美瑞迪安,明海市
梅里马克,明江市
默顿,明河市
迈阿密堡,明山市
米德尔汉姆,明川市
米德赫斯特,明阳市
米德斯特,明城市
米拉姆,明州市
米尔福德,明泉市
米勒顿,明湖市
米尔福德,明岭市
米尔伍德,平安市
米尔纳,平宁市
米尔顿,平海市
蒙哥马利,平江市
蒙哥马利村,平河市
莫克姆,平山市
摩顿汉普斯特德,平川市
芒兹维尔,平阳市
维斯塔山,平城市
湖山,平州市
澜池山,平泉市
蒙德莱因,平湖市
奈勒,平岭市
尼思,顺安市
涅娜娜,顺宁市
奈特利,顺海市
新班纳姆,顺江市
纽查堡山,顺河市
纽马克特,顺山市
纽维尔,顺川市
诺科米斯,顺阳市
诺勒姆,顺城市
北湾,顺州市
北滩哈文,顺泉市
北布伦特伍德,顺湖市
北旺塔,顺岭市
北路,荣安市
奥克代尔,荣宁市
奥登维尔,荣海市
奥迪汉姆,荣江市
旧蒙罗,荣河市
旧塔潘,荣山市
奥林达,荣川市
奥姆斯比,荣阳市
奥西安,荣城市
奥斯威斯特,荣州市
奥赛斯,荣泉市
奥特福德,荣湖市
奥特利,荣岭市
欧福尔,昌安市
牛津,昌宁市
奥斯特,昌海市
帕登,昌江市
佩奇代尔,昌河市
佩恩顿,昌山市
帕拉蒂尼桥,昌川市
帕洛塞科,昌阳市
巴斯图拉,昌城市
帕特灵顿,昌州市
帕斯代尔,昌泉市
佩恩盖普,昌湖市
佩布马什,昌岭市
彭蒙,达安市
彭德尔,达宁市
彭维尔,达海市
彭里斯,达江市
彭斯赫斯特,达河市
佩科特湖,达山市
彼得斯菲尔德,达川市
佩文西,达阳市
皮戈特,达城市
佩罗,达州市
皮农,达泉市
皮特曼中心,达湖市
皮顿,达岭市
普莱塔科塔达,宏安市
普拉马斯湖,宏宁市
庞卡城,宏海市
波切斯特,宏江市
波特维尔,宏河市
波特山,宏山市
普罗克茨维尔,宏川市
普罗思拜克公园,宏阳市
拉格伦,宏城市
兰博伍德,宏州市
拉姆齐,宏泉市
兰索姆山谷,宏湖市
拉文格拉斯,宏岭市
拉文斯沃思,远安市
雷库尔弗,远宁市
雷克斯福德,远海市
里奇伯勒,远江市
里纳尔,远河市
罗克里克,远山市
罗克茅斯,远川市
罗斯特,远阳市
罗加特,远城市
罗盖特,远州市
罗姆西,远泉市
罗斯林高地,远湖市
罗瑟勒姆,远岭市
圆石,新安市
皇家湖,新宁市
罗伊斯顿,新海市
流尼米德,新江市
森德维弛,新河市
赛格敦,新山市
萨奇维尔,新川市
萨尔查,新阳市
索尔福德,新城市
萨利克斯,新州市
圣卡洛斯,新泉市
圣克里斯托瓦尔,新湖市
森德维弛,新岭市
萨尼贝尔,望安市
索姆,望宁市
谢弗斯敦,望海市
西戈维尔,望江市
塞雷诺德尔马,望河市
赛文奥克斯,望山市
赛宁,望川市
沙夫茨伯里,望阳市
夏普斯堡,望城市
舍伯恩,望州市
肖勒姆,望泉市
西布利,望湖市
西尔切斯特,望岭市
斯凯利敦,启安市
斯利福德,启宁市
斯利克维尔,启海市
史密斯河,启江市
斯诺维尔,启河市
斯奈德维尔,启山市
南艾尔蒙地,启川市
南罗克萨娜,启阳市
南华克,启城市
索斯韦尔,启州市
斯宾塞,启泉市
斯坦福,启湖市
斯坦顿,启岭市
斯塔福德,庆安市
斯托达德,庆宁市
斯托赛,庆海市
斯特拉特福,庆江市
斯特雷顿,庆河市
斯特劳德,庆山市
萨德伯里,庆川市
舒格兰峦,庆阳市
萨默斯维尔,庆城市
坦佩雷,庆州市
塔姆沃思,庆泉市
汤顿,庆湖市
特科斯塔,庆岭市
图克斯伯里,承安市
西奥多,承宁市
索顿,承海市
蒂拉格兰德,承江市
蒂弗顿,承河市
桐,承山市
托罗峡谷,承川市
托斯特,承阳市
特拉普,承城市
特里蒙特,承州市
特鲁克斯顿,承泉市
图斯科拉,承湖市
阿芬顿,承岭市
乌里希,绍安市
瓦宁斯,绍宁市
瓦尔登湖,绍海市
沃林福德,绍江市
沃尔默,绍河市
沃尔辛厄姆,绍山市
旺达,绍川市
威尔,绍阳市
威尔浅滩,绍城市
韦福德,绍州市
温斯伯里,绍泉市
威克斯维尔,绍湖市
威尔斯,绍岭市
威尔斯顿,同安市
威尔斯维尔,同宁市
韦伯利,同海市
西月桂,同江市
西曼斯菲尔德,同河市
西谷,同山市
威利,同川市
威克姆,同阳市
威根,同城市
威格摩尔,同州市
威尔顿,同泉市
温彻西,同湖市
温伯,同岭市
温尼,建安市
沃本,建宁市
沃金厄姆,建海市
维瑟尔,建江市
罗瑟姆,建河市
耶弗林,建山市
黄松,建川市
