品牌ID,行业信息,官译_品牌名,你的翻译_品牌名
269,"公司: Industrial_WarehouseConvenienceFood; Industrial_ConvenienceFoodFromLivestockFactory; Industrial_ConvenienceFoodFromGrainFactory; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Input1:Livestock, Output:ConvenienceFood; Input1:Grain, Output:ConvenienceFood; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",26<9,速食達人
Aivatsu,"公司: Industrial_WarehouseVehicles; Industrial_WarehouseMachinery; Industrial_MachineryFactory; Industrial_VehicleFactory; Commercial_VehicleStore | 行业: Output:Vehicles; Output:Machinery; Input1:Metals, Input2:Steel, Output:Machinery; Input1:Metals, Input2:Plastics, Output:Vehicles; Input1:Vehicles, Output:Vehicles, Type:Service",Aivatsu,愛立馳重工
AlkenesCracking,"公司: Industrial_WarehouseOil; Industrial_OilExtractor; Industrial_OilRefinery | 行业: Output:Oil; Input1:Oil, Output:Petrochemicals",Alkenes Cracking,龍騰石化
AllmostMeat,"公司: Industrial_WarehouseFood; Industrial_WarehouseVegetables; Industrial_VegetableExtractor; Industrial_FoodFactory; Commercial_FoodStore | 行业: Output:Food; Output:Vegetables; Input1:Vegetables, Input2:Livestock, Output:Food; Input1:Food, Output:Food, Type:Service",Allmost Meat,差啲全肉食堂
AnnusInteriorDesign,"公司: Commercial_FurnitureStore | 行业: Input1:Furniture, Output:Furniture, Type:Service",Annu's Interior Design,安居室內設計公司
AshtrainRecords,"公司: Office_MediaCompany | 行业: Input1:Software, Output:Media",Ashtrain Records,煙雲唱片
BanhammerBank,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",Banhammer Bank,磐石銀行
Barbarshop,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Barbarshop,鋒芒髮廊
BarkMillTannery,"公司: Industrial_WarehouseTextiles; Industrial_TextileFromLivestockFactory | 行业: Output:Textiles; Input1:Livestock, Output:Textiles",Bark Mill Tannery,天成皮革廠
BedbugHostel,"公司: Commercial_Hotel | 行业: Input1:Food, Output:Lodging, Type:Service",Bedbug Hostel,將就住賓館
BellAndCog,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Bell & Cog,鈴齒樂園
BendyLetters,"公司: Office_MediaCompany | 行业: Input1:Software, Output:Media",Bendy Letters,靈動傳媒
