官译_城市名,你的翻译_城市名
阿伯加文尼,香港
阿卡拉内斯岭,九龍
阿瓜弗里亚,新界
奥尔本斯,廣州
阿尔伯布蒂,深圳
奥尔德本,珠海
奥尔德布鲁,青山灣
奥尔福德,青山澳
艾伦,青山埔
阿尼克,青山圍
奥尔顿,青山田
阿玛撒,青山嶺
阿默沙姆,青山洲
安普希尔,青山角
羚羊山,青山港
阿内加德,白沙灣
阿伦德尔,白沙澳
亚萨,白沙埔
阿什弗拉特,白沙圍
阿什比,白沙田
阿欣登,白沙嶺
亚什兰,白沙洲
奥本山,白沙角
奥斯特,白沙港
阿克斯布里奇,金竹灣
巴克利,金竹澳
巴扬达斯,金竹埔
班堡,金竹圍
班伯里,金竹田
巴德尼,金竹嶺
巴弗雷斯顿,金竹洲
巴尼加特莱特,金竹角
巴尼斯顿,金竹港
巴尼,銀湖灣
巴里顿,銀湖澳
比明斯特,銀湖埔
比亚特里斯,銀湖圍
博利厄,銀湖田
比瑟姆,銀湖嶺
贝洛伊特,銀湖洲
贝尔赛,銀湖角
本弗利特,銀湖港
伯哈姆斯特德,瑞泉灣
比佛利山,瑞泉澳
比格福特,瑞泉埔
比林厄姆,瑞泉圍
伯尼,瑞泉田
布莱克加姆,瑞泉嶺
布洛杰特兰丁,瑞泉洲
布洛克瑟姆,瑞泉角
博德明,瑞泉港
博亚姆,海心灣
博利,海心澳
博尔顿,海心埔
邦瀚,海心圍
鲍斯,海心田
布拉丁,海心嶺
布兰德韦尔,海心洲
布拉辛顿,海心角
布雷肯,海心港
布里奇代尔,東江灣
布里奇奥思,東江澳
布鲁克斯,東江埔
布劳,東江圍
布劳顿,東江田
布伦斯维尔,東江嶺
布莱恩敦,東江洲
巴克法斯特,東江角
巴克利,東江港
伯吉兹敦,龍門灣
伯格,龍門澳
伯恩利,龍門埔
伯顿,龍門圍
博利,龍門田
布什伯里,龍門嶺
布斯蒂,龍門洲
拜罗姆维尔,龍門角
拜瑟姆,龍門港
卡多谷,鳳凰灣
卡菲利,鳳凰澳
卡温特,鳳凰埔
凯斯特,鳳凰圍
卡拉巴什,鳳凰田
卡尔霍恩瀑布,鳳凰嶺
加利福恩,鳳凰洲
卡尔恩,鳳凰角
剑桥泉,鳳凰港
卡梅尔福德,蓮塘灣
卡姆登,蓮塘澳
卡尼斯托塔,蓮塘埔
珊瑚角,蓮塘圍
卡里斯布鲁克,蓮塘田
卡纳望,蓮塘嶺
卡里克,蓮塘洲
卡里佐,蓮塘角
卡特里克,蓮塘港
雪达堡,桂林灣
辛南,桂林澳
塞特尔山,桂林埔
查尔格罗夫,桂林圍
钦伯兰,桂林田
查塔姆,桂林嶺
切克塔,桂林洲
切尔滕纳姆,桂林角
切普斯托,桂林港
彻顺特,梅窩灣
切斯特,梅窩澳
奇勒姆,梅窩埔
奇林厄姆,梅窩圍
奇本纳姆,梅窩田
奇伯里,梅窩嶺
乔利,梅窩洲
辛科河口,梅窩角
克拉克顿,梅窩港
克拉里维尔,荔枝灣
克利福德,荔枝澳
克鲁捷,荔枝埔
科林加,荔枝圍
科尔本,荔枝田
科恩,荔枝嶺
巨城,荔枝洲
科姆,荔枝角
