官译_桥名,官译_坝名,你的翻译_桥名,你的翻译_坝名
上将大桥,上将大坝,汉江大桥,汉江水库
琥珀大桥,琥珀大坝,金水大桥,金水水库
阿彻尔大桥,阿彻尔大坝,风和大桥,风和水库
阿什下大桥,阿什当大坝,光明大桥,光明水库
奥本大桥,奥本大坝,流云大桥,流云水库
极光大桥,极光大坝,洞庭大桥,洞庭水库
蔚蓝大桥,蔚蓝大坝,智泽大桥,智泽水库
灯塔大桥,灯塔大坝,碧波大桥,碧波水库
比彻姆大桥,比彻姆大坝,标志大桥,标志水库
伯克戴尔大桥,伯克戴尔大坝,苏北大桥,苏北水库
布莱克威尔大桥,布莱克威尔大坝,理想大桥,理想水库
博斯沃思大桥,博斯沃思大坝,跨山大桥,跨山水库
博尔德大桥,博尔德大坝,麒麟大桥,麒麟水库
布罗克雷大桥,布罗克雷大坝,玉带大桥,玉带水库
卡尔顿大桥,卡尔顿大坝,丹霞大桥,丹霞水库
冠军大桥,冠军大坝,广济大桥,广济水库
科巴姆大桥,科巴姆大坝,腾龙大桥,腾龙水库
上校大桥,上校大坝,晨曦大桥,晨曦水库
科波菲尔大桥,科波菲尔大坝,调水大桥,调水水库
珊瑚大桥,珊瑚大坝,繁荣大桥,繁荣水库
克兰福德大桥,克兰福德大坝,巍峨大桥,巍峨水库
克雷斯韦尔大桥,克雷斯韦尔大坝,益民大桥,益民水库
王冠大桥,王冠大坝,丰茂大桥,丰茂水库
女公爵大桥,女公爵大坝,希望大桥,希望水库
杜斯伯里大桥,杜斯伯里大坝,卧虎大桥,卧虎水库
公爵大桥,公爵大坝,祥瑞大桥,祥瑞水库
伯爵大桥,伯爵大坝,凤凰大桥,凤凰水库
翡翠大桥,翡翠大坝,铁路大桥,铁路水库
弗利特大桥,弗利特大坝,引黄大桥,引黄水库
弗莱彻大桥,弗莱彻大坝,福泽大桥,福泽水库
燧石大桥,燧石大坝,连通大桥,连通水库
盖恩斯威大桥,盖恩斯威大坝,春江大桥,春江水库
格兰岱尔大桥,格兰岱尔大坝,港口大桥,港口水库
格伦里奇大桥,格伦里奇大坝,锦绣大桥,锦绣水库
格伦伍德大桥,格伦伍德大坝,磅礴大桥,磅礴水库
格兰瑟姆大桥,格兰瑟姆大坝,燕归大桥,燕归水库
格雷斯通大桥,格雷斯通大坝,惠泽大桥,惠泽水库
格里芬大桥,格里芬大坝,青云大桥,青云水库
黑尔伍德大桥,黑尔伍德大坝,璀璨大桥,璀璨水库
哈灵顿大桥,哈灵顿大坝,龙门大桥,龙门水库
哈里森大桥,哈里森大坝,翠湖大桥,翠湖水库
赫里蒂奇大桥,赫里蒂奇大坝,华贵大桥,华贵水库
海格特大桥,海格特大坝,鄱阳大桥,鄱阳水库
