官译_男名,你的翻译_男名
亚当,志偉
阿尔伯特,家明
亚历山大,偉明
安德鲁,俊豪
亚瑟,德華
阿仕顿,俊傑
阿斯彭,浩然
布莱德利,家俊
卡尔,俊明
塞德里克,志強
查尔斯,振華
大卫,偉成
德克斯特,偉邦
厄尔,子健
爱德华,耀華
亨利,文彬
霍华德,宏偉
伊恩,逸朗
詹姆斯,嘉誠
杰洛米,俊輝
杰瑞,健文
乔,志勇
约翰,志明
拉瑞,永樂
莱顿,立新
毛里斯,茂林
马格纳斯,偉龍
奥利佛,子豪
奥斯卡,文軒
保罗,國榮
珀西,培華
皮特,嘉豪
普雷斯顿,文傑
雷蒙德,俊峰
理查德,禮賢
罗伯特,偉倫
斯蒂芬,德明
斯特林,文昊
史蒂夫,高峰
特瑞,海濤
汤马斯,天佑
蒂莫西,定邦
陶德,懷德
汤姆,光輝
托尼,宇飛
特拉维斯,傳威
泰勒,泰安
沃尔特,尚武
威廉,文博
温斯顿,文明
邓顿,敦厚
本杰明,秉文
麦克斯韦,凱旋
米洛,其樂
卓蒙德,卓賢
杰顿,傑明
布雷特,博文
迪兰,啟文
卡姆林,康寧
拉尔夫,超賢
克雷,俊賢
阿德里安,安平
泰拉,遠航
杰弗里,俊鋒
达米安,達成
比夫,俊彥
克里斯托弗,大鵬
杰罗姆,嘉朗
戴文,曉晨
海顿,浩銘
悉尼,晨朗
阿奇博尔德,志遠
珊农,文康
克里夫,開朗
顿斯坦,敬文
凯兰,凱宏
德雷克,子琛
奥尔森,聖賢
戴万,萬鈞
布克,書豪
默里克,慎言
克雷,奎文
兰道,文韜
雷克斯,偉霖
谢伊,沐恩
丹佛,朝陽
罗伊顿,建東
特拉福德,威豪
梅森,茂森
瑞安,銳進
桑普森,積善
尼格尔,寧遠
拉斯蒂,剛毅
富兰克林,豐年
菲尔,飛揚
艾略特,子倫
格雷戈,瑞祥
肯德里克,志堅
强尼,阿強
曼努埃尔,滿福
