官译_男名,你的翻译_男名
亚当,志强
阿尔伯特,建国
亚历山大,伟明
安德鲁,国栋
亚瑟,铁柱
阿仕顿,俊杰
阿斯彭,浩然
布莱德利,鹏程
卡尔,刚强
塞德里克,正平
查尔斯,振华
大卫,大伟
德克斯特,德才
厄尔,永康
爱德华,耀华
亨利,文彬
霍华德,宏伟
伊恩,逸群
詹姆斯,嘉诚
杰洛米,杰辉
杰瑞,健民
乔,大勇
约翰,志勇
拉瑞,永乐
莱顿,立新
毛里斯,茂林
马格纳斯,猛龙
奥利佛,傲松
奥斯卡,天亮
保罗,宝国
珀西,培元
皮特,太平
普雷斯顿,顺风
雷蒙德,雷鸣
理查德,礼贤
罗伯特,晓波
斯蒂芬,大胜
斯特林,中兴
史蒂夫,高峰
特瑞,海涛
汤马斯,挺拔
蒂莫西,定邦
陶德,怀德
汤姆,光辉
托尼,宇飞
特拉维斯,传威
泰勒,泰安
沃尔特,尚武
威廉,文博
温斯顿,文明
邓顿,敦厚
本杰明,秉文
麦克斯韦,凯旋
米洛,其乐
卓蒙德,卓凡
杰顿,杰明
布雷特,博文
迪兰,启迪
卡姆林,康宁
拉尔夫,超凡
克雷,魁伟
阿德里安,安平
泰拉,远航
杰弗里,锋芒
达米安,达成
比夫,阿彪
克里斯托弗,大鹏
杰罗姆,青龙
戴文,晓晨
海顿,大海
悉尼,晨曦
阿奇博尔德,志远
珊农,青山
克里夫,开阔
顿斯坦,磐石
凯兰,凯哥
德雷克,子琛
奥尔森,圣哲
戴万,万全
布克,书豪
默里克,慎言
克雷,奎元
兰道,文韬
雷克斯,大力
谢伊,沐恩
丹佛,朝阳
罗伊顿,建东
特拉福德,威猛
梅森,茂森
瑞安,锐进
桑普森,积善
尼格尔,宁静
拉斯蒂,刚毅
富兰克林,丰收
菲尔,飞跃
艾略特,子伦
格雷戈,瑞祥
肯德里克,志坚
强尼,阿强
曼努埃尔,满福
